연번,성별,적발횟수,나이,알콜농도,측정일시,관할경찰서
114,남자,1,52,0.056,2020-01-01 5:27,남양주경찰서
115,남자,1,31,0.067,2020-01-01 5:29,마산동부경찰서
116,남자,1,25,0.168,2020-01-01 5:35,서울마포경찰서
117,남자,1,28,0.104,2020-01-01 5:39,강릉경찰서
118,남자,1,18,0.101,2020-01-01 5:40,용인동부경찰서
119,남자,1,19,0.095,2020-01-01 5:40,서울용산경찰서
120,남자,1,25,0.119,2020-01-01 5:46,춘천경찰서
121,남자,1,26,0.1,2020-01-01 5:50,인천남동경찰서
122,남자,1,53,0.036,2020-01-01 5:53,광주광산경찰서
123,남자,1,25,0.095,2020-01-01 5:53,순천경찰서
124,남자,1,30,측정거부,2020-01-01 5:55,파주경찰서
125,남자,1,35,0.101,2020-01-01 5:55,포항남부경찰서
126,남자,1,43,0.047,2020-01-01 5:56,청주상당경찰서
127,남자,1,47,0.111,2020-01-01 5:57,서울양천경찰서
128,남자,1,22,0.087,2020-01-01 5:58,대구서부경찰서
129,남자,1,23,0.154,2020-01-01 6:00,완주경찰서
130,남자,1,23,0.081,2020-01-01 6:01,포항남부경찰서
131,남자,1,65,0.077,2020-01-01 6:01,인천중부경찰서
132,남자,1,23,0.117,2020-01-01 6:03,목포경찰서
133,남자,1,48,0.05,2020-01-01 6:03,수원남부경찰서
134,남자,1,23,0.191,2020-01-01 6:03,부산진경찰서
135,남자,1,36,0.089,2020-01-01 6:10,목포경찰서
136,남자,1,26,0.054,2020-01-01 6:12,목포경찰서
137,남자,1,18,0.108,2020-01-01 6:12,진해경찰서
138,남자,1,29,0.094,2020-01-01 6:17,칠곡경찰서
139,남자,1,33,0.116,2020-01-01 6:18,화성서부경찰서
140,남자,1,64,0.118,2020-01-01 6:21,서울용산경찰서
141,남자,1,30,0.171,2020-01-01 6:22,인천남동경찰서
142,여자,1,34,0.147,2020-01-01 6:24,서산경찰서
143,남자,1,31,0.069,2020-01-01 6:26,제천경찰서
144,남자,1,22,0.118,2020-01-01 6:30,보성경찰서
145,남자,1,32,0.043,2020-01-01 6:34,서울마포경찰서
146,남자,1,25,0.14,2020-01-01 6:37,대구수성경찰서
147,남자,1,23,0.137,2020-01-01 6:40,일산동부경찰서
148,남자,1,24,0.067,2020-01-01 6:40,대전서부경찰서
149,남자,1,31,0.065,2020-01-01 6:43,대구수성경찰서
150,남자,1,18,0.048,2020-01-01 6:49,부산진경찰서
151,남자,1,23,0.059,2020-01-01 6:58,서울노원경찰서
152,남자,1,24,0.075,2020-01-01 6:59,서울중랑경찰서
153,남자,1,21,0.047,2020-01-01 7:07,김포경찰서
154,남자,1,25,0.1,2020-01-01 7:09,대전유성경찰서
155,남자,1,42,0.146,2020-01-01 7:09,인천미추홀경찰서
156,남자,1,24,0.045,2020-01-01 7:11,대전유성경찰서
157,남자,1,18,0.067,2020-01-01 7:12,대구수성경찰서
158,남자,1,22,0.094,2020-01-01 7:14,인천강화경찰서
159,남자,1,43,0.103,2020-01-01 7:15,안양만안경찰서
160,남자,1,55,0.065,2020-01-01 7:18,안양동안경찰서
161,남자,1,26,0.097,2020-01-01 7:20,청주흥덕경찰서
162,남자,1,25,0.142,2020-01-01 7:21,인천남동경찰서
163,남자,1,27,0.128,2020-01-01 7:39,수원남부경찰서
164,남자,1,32,0.105,2020-01-01 7:40,서울마포경찰서
165,남자,1,33,0.068,2020-01-01 7:41,대전서부경찰서
166,남자,1,24,0.083,2020-01-01 7:48,남양주경찰서
167,남자,1,54,0.148,2020-01-01 7:49,서울영등포경찰서
168,남자,1,21,0.065,2020-01-01 7:57,광주서부경찰서
169,남자,1,24,0.067,2020-01-01 8:01,대전서부경찰서
170,남자,1,51,0.168,2020-01-01 8:04,인천남동경찰서
171,남자,1,32,0.034,2020-01-01 8:24,안산단원경찰서
172,남자,1,18,0.126,2020-01-01 8:25,서울동작경찰서
173,남자,1,39,0.159,2020-01-01 8:31,경주경찰서
174,남자,1,26,0.063,2020-01-01 8:37,평택경찰서
175,남자,1,43,0.085,2020-01-01 8:43,서울강동경찰서
176,남자,1,45,0.059,2020-01-01 8:44,화성동탄경찰서
177,여자,1,22,0.106,2020-01-01 8:45,대구동부경찰서
178,남자,1,22,0.099,2020-01-01 8:47,천안동남경찰서
179,여자,1,29,0.17,2020-01-01 8:56,강릉경찰서
180,남자,1,20,0.064,2020-01-01 9:11,부산금정경찰서
181,남자,1,29,0.147,2020-01-01 9:30,서울동대문경찰서
182,남자,1,22,0.113,2020-01-01 9:41,동해경찰서
183,남자,1,26,0.125,2020-01-01 9:48,진주경찰서
184,남자,1,35,0.18,2020-01-01 10:15,의정부경찰서
185,남자,1,25,0.074,2020-01-01 10:21,서울양천경찰서
186,남자,1,27,0.097,2020-01-01 10:23,화성서부경찰서
187,남자,1,49,0.063,2020-01-01 10:24,부산남부경찰서
188,남자,1,47,0.22,2020-01-01 10:31,포항남부경찰서
189,남자,1,28,0.13,2020-01-01 10:35,전주완산경찰서
190,남자,1,53,0.161,2020-01-01 10:41,인천서부경찰서
191,여자,1,55,0.111,2020-01-01 11:09,대구동부경찰서
192,남자,1,72,0.031,2020-01-01 11:52,제주서부경찰서
193,남자,1,31,0.036,2020-01-01 11:52,경산경찰서
194,남자,1,49,0.204,2020-01-01 12:08,오산경찰서
195,남자,1,61,0.107,2020-01-01 12:35,안산단원경찰서
196,남자,1,24,0.075,2020-01-01 12:37,홍성경찰서
197,남자,1,25,0.073,2020-01-01 12:49,광주광산경찰서
198,남자,1,39,0.182,2020-01-01 12:58,부산기장경찰서
199,남자,1,34,0.098,2020-01-01 13:05,경주경찰서
200,남자,1,24,0.067,2020-01-01 13:05,홍성경찰서
201,남자,1,38,0.147,2020-01-01 13:16,인천서부경찰서
202,남자,1,54,0.173,2020-01-01 13:28,음성경찰서
203,남자,2,47,0.143,2020-01-01 13:44,서울강서경찰서
204,여자,1,46,0.093,2020-01-01 14:11,화성서부경찰서
205,남자,1,61,0.152,2020-01-01 14:28,남양주경찰서
206,남자,1,24,0.105,2020-01-01 14:28,군산경찰서
207,여자,1,53,0.088,2020-01-01 14:33,구미경찰서
208,남자,1,65,0.137,2020-01-01 14:43,거제경찰서
209,남자,1,46,0.124,2020-01-01 14:45,구미경찰서
210,남자,1,58,0.035,2020-01-01 14:52,부천오정경찰서
211,남자,1,34,0.123,2020-01-01 15:00,분당경찰서
212,남자,1,51,0.1,2020-01-01 15:12,부산동래경찰서
213,남자,1,28,0.085,2020-01-01 15:48,순천경찰서
214,남자,1,54,0.07,2020-01-01 15:55,평택경찰서
215,남자,1,60,0.126,2020-01-01 16:17,칠곡경찰서
216,남자,1,63,측정거부,2020-01-01 16:27,서산경찰서
217,남자,1,50,0.053,2020-01-01 16:32,수원남부경찰서
218,남자,1,59,0.092,2020-01-01 16:32,음성경찰서
219,남자,1,54,0.176,2020-01-01 17:08,아산경찰서
220,남자,1,54,0.12,2020-01-01 17:13,서울구로경찰서
221,남자,1,41,0.061,2020-01-01 17:18,김포경찰서
222,남자,1,74,0.081,2020-01-01 17:23,강릉경찰서
223,남자,1,27,0.115,2020-01-01 17:27,시흥경찰서
224,남자,1,58,0.03,2020-01-01 17:29,진해경찰서
225,남자,1,55,측정거부,2020-01-01 17:37,인천계양경찰서
226,남자,1,51,측정거부,2020-01-01 17:43,평창경찰서
227,남자,1,35,0.038,2020-01-01 17:58,안산단원경찰서
228,남자,1,70,0.12,2020-01-01 18:14,울산울주경찰서
229,남자,1,52,0.141,2020-01-01 18:15,봉화경찰서
230,남자,1,70,0.075,2020-01-01 18:16,포천경찰서
231,여자,1,49,0.298,2020-01-01 18:53,홍천경찰서
232,남자,1,51,0.126,2020-01-01 19:06,고령경찰서
233,남자,1,57,0.188,2020-01-01 19:19,공주경찰서
234,남자,1,46,0.042,2020-01-01 19:29,창녕경찰서
235,남자,1,54,0.119,2020-01-01 20:03,부천오정경찰서
236,남자,1,53,0.152,2020-01-01 20:18,이천경찰서
237,남자,1,31,0.107,2020-01-01 20:33,진주경찰서
238,남자,1,48,0.031,2020-01-01 20:36,구리경찰서
239,여자,1,40,0.044,2020-01-01 20:37,동두천경찰서
240,남자,1,36,0.058,2020-01-01 20:37,화성서부경찰서
241,여자,1,40,0.179,2020-01-01 20:39,제주동부경찰서
242,남자,1,28,0.068,2020-01-01 20:39,인천중부경찰서
243,남자,1,72,0.077,2020-01-01 20:44,인천중부경찰서
244,남자,1,48,0.038,2020-01-01 20:46,남양주경찰서
245,남자,1,24,0.168,2020-01-01 20:58,광주서부경찰서
246,남자,1,48,0.148,2020-01-01 21:09,양주경찰서
247,남자,1,43,0.121,2020-01-01 21:17,장성경찰서
248,남자,1,45,0.119,2020-01-01 21:18,평택경찰서
249,남자,1,52,0.161,2020-01-01 21:20,인천서부경찰서
250,남자,1,31,0.137,2020-01-01 21:21,청주청원경찰서
251,남자,1,44,0.155,2020-01-01 21:26,안양만안경찰서
252,남자,1,53,0.106,2020-01-01 21:28,서울성동경찰서
253,남자,1,50,0.147,2020-01-01 21:29,포항남부경찰서
254,남자,1,49,0.15,2020-01-01 21:40,양주경찰서
255,남자,1,46,0.041,2020-01-01 21:42,구리경찰서
256,여자,1,37,0.233,2020-01-01 21:45,익산경찰서
257,남자,1,28,0.033,2020-01-01 21:51,인천남동경찰서
258,남자,1,49,0.089,2020-01-01 21:52,대전유성경찰서
259,남자,1,63,0.124,2020-01-01 21:55,김해중부경찰서
260,남자,1,36,0.067,2020-01-01 21:56,수원중부경찰서
261,남자,1,36,0.116,2020-01-01 21:58,부산연제경찰서
262,남자,1,61,0.117,2020-01-01 22:02,태백경찰서
263,남자,1,56,0.142,2020-01-01 22:06,남양주경찰서
264,남자,1,28,0.067,2020-01-01 22:08,양주경찰서
265,남자,1,58,0.097,2020-01-01 22:09,여수경찰서
266,남자,1,32,0.045,2020-01-01 22:17,평택경찰서
267,남자,1,59,0.083,2020-01-01 22:17,가평경찰서
268,남자,1,48,0.035,2020-01-01 22:22,일산서부경찰서
269,남자,1,54,0.065,2020-01-01 22:22,남양주경찰서
270,남자,1,27,0.034,2020-01-01 22:27,평택경찰서
271,남자,1,30,0.046,2020-01-01 22:33,양산경찰서
272,남자,1,25,0.093,2020-01-01 22:39,군산경찰서
273,남자,1,29,0.063,2020-01-01 22:40,공주경찰서
274,남자,1,29,0.185,2020-01-01 22:44,남원경찰서
275,남자,1,31,0.095,2020-01-01 22:46,서울종암경찰서
276,남자,1,36,0.136,2020-01-01 22:47,충주경찰서
277,남자,1,51,0.082,2020-01-01 22:48,인천중부경찰서
278,남자,1,41,0.168,2020-01-01 22:54,시흥경찰서
279,남자,1,50,0.077,2020-01-01 22:56,오산경찰서
280,남자,1,48,0.07,2020-01-01 23:01,광주광산경찰서
281,남자,1,47,0.074,2020-01-01 23:01,시흥경찰서
282,남자,1,56,0.099,2020-01-01 23:03,대구달서경찰서
283,남자,1,47,0.125,2020-01-01 23:04,대구성서경찰서
284,남자,1,60,0.125,2020-01-01 23:11,남양주경찰서
285,남자,1,44,0.077,2020-01-01 23:11,안양동안경찰서
286,남자,1,33,0.077,2020-01-01 23:14,파주경찰서
287,남자,1,39,0.131,2020-01-01 23:24,인천서부경찰서
288,여자,1,39,0.067,2020-01-01 23:30,안양동안경찰서
289,남자,1,27,0.071,2020-01-01 23:32,안산단원경찰서
290,남자,1,46,0.101,2020-01-01 23:38,파주경찰서
291,남자,1,44,0.089,2020-01-01 23:41,용인동부경찰서
292,남자,1,33,0.11,2020-01-02 0:00,시흥경찰서
293,남자,1,54,0.054,2020-01-02 0:02,순천경찰서
294,남자,1,27,0.079,2020-01-02 0:05,의정부경찰서
295,남자,1,36,0.099,2020-01-02 0:05,대구수성경찰서
296,남자,1,24,0.049,2020-01-02 0:06,광주북부경찰서
297,남자,1,32,0.154,2020-01-02 0:06,원주경찰서
298,남자,1,27,0.245,2020-01-02 0:16,광주광산경찰서
299,남자,1,38,0.116,2020-01-02 0:16,광주북부경찰서
300,남자,1,57,0.089,2020-01-02 0:18,김해서부경찰서
301,남자,1,61,0.065,2020-01-02 0:20,파주경찰서
302,여자,1,31,0.119,2020-01-02 0:34,남양주경찰서
303,남자,1,21,0.041,2020-01-02 1:06,광주광산경찰서
304,남자,1,42,0.182,2020-01-02 1:15,시흥경찰서
305,여자,1,49,0.155,2020-01-02 1:16,거제경찰서
306,남자,1,28,0.161,2020-01-02 1:16,구미경찰서
307,남자,1,30,0.167,2020-01-02 1:20,원주경찰서
308,남자,1,49,0.055,2020-01-02 1:29,포항북부경찰서
309,남자,1,25,0.073,2020-01-02 1:37,대구동부경찰서
310,남자,1,26,0.105,2020-01-02 1:47,대구수성경찰서
311,남자,1,46,0.135,2020-01-02 1:59,서울송파경찰서
312,남자,1,30,0.121,2020-01-02 2:08,이천경찰서
313,남자,1,24,측정거부,2020-01-02 2:12,여수경찰서
314,남자,1,38,0.111,2020-01-02 2:12,화성동탄경찰서
315,남자,1,40,0.128,2020-01-02 2:14,서울관악경찰서
316,남자,1,35,0.364,2020-01-02 2:22,통영경찰서
317,남자,1,21,0.049,2020-01-02 2:30,영덕경찰서
318,남자,1,24,0.16,2020-01-02 2:35,의정부경찰서
319,남자,1,26,0.063,2020-01-02 2:37,광주남부경찰서
320,남자,1,32,0.172,2020-01-02 2:40,용인서부경찰서
321,남자,1,30,0.147,2020-01-02 2:56,의왕경찰서
322,남자,1,50,0.176,2020-01-02 3:10,대구동부경찰서
323,남자,1,33,0.137,2020-01-02 3:14,대구성서경찰서
324,여자,1,47,0.096,2020-01-02 3:15,서울강북경찰서
325,남자,1,35,0.139,2020-01-02 3:15,밀양경찰서
326,남자,1,32,0.104,2020-01-02 3:18,대구성서경찰서
327,남자,1,33,0.113,2020-01-02 3:21,서울강남경찰서
328,남자,1,39,0.133,2020-01-02 3:36,부산진경찰서
329,남자,1,28,0.173,2020-01-02 3:44,속초경찰서
330,남자,1,27,0.116,2020-01-02 3:48,안산단원경찰서
331,남자,1,26,0.04,2020-01-02 3:52,여주경찰서
332,남자,1,24,0.081,2020-01-02 4:02,부천소사경찰서
333,남자,1,30,0.064,2020-01-02 4:18,대구서부경찰서
334,여자,1,55,측정거부,2020-01-02 4:19,김해서부경찰서
335,남자,1,22,0.158,2020-01-02 4:19,익산경찰서
336,남자,1,29,0.174,2020-01-02 4:22,수원서부경찰서
337,남자,1,33,0.333,2020-01-02 4:25,서울용산경찰서
338,남자,1,36,0.074,2020-01-02 4:30,서울송파경찰서
339,남자,1,44,0.135,2020-01-02 4:32,서울도봉경찰서
340,남자,1,32,0.096,2020-01-02 4:45,서울관악경찰서
341,남자,1,18,0.04,2020-01-02 4:51,울산울주경찰서
342,남자,1,40,0.086,2020-01-02 4:55,대구중부경찰서
343,남자,1,20,0.155,2020-01-02 4:56,영광경찰서
344,남자,1,29,0.092,2020-01-02 5:00,평택경찰서
345,남자,1,25,0.082,2020-01-02 5:05,인천삼산경찰서
346,남자,1,23,0.098,2020-01-02 5:08,대전대덕경찰서
347,남자,1,38,0.106,2020-01-02 5:15,광주광산경찰서
348,남자,1,55,0.107,2020-01-02 5:16,논산경찰서
349,남자,1,20,0.072,2020-01-02 5:46,대구성서경찰서
350,남자,1,34,0.089,2020-01-02 5:57,서울강북경찰서
351,남자,1,34,0.121,2020-01-02 5:59,안양동안경찰서
352,남자,1,20,측정거부,2020-01-02 6:15,부산동래경찰서
353,남자,1,24,0.106,2020-01-02 6:16,강릉경찰서
354,남자,1,36,0.128,2020-01-02 6:18,안양만안경찰서
355,여자,1,48,0.097,2020-01-02 6:53,용인동부경찰서
356,남자,1,19,0.124,2020-01-02 7:13,양산경찰서
357,남자,1,27,0.149,2020-01-02 7:18,서울구로경찰서
358,남자,1,19,0.152,2020-01-02 7:22,안산상록경찰서
359,남자,1,27,0.063,2020-01-02 7:52,공주경찰서
360,남자,1,53,0.123,2020-01-02 7:53,거제경찰서
361,남자,1,27,0.034,2020-01-02 8:26,남양주경찰서
362,남자,1,21,0.079,2020-01-02 8:48,천안서북경찰서
363,남자,1,23,0.114,2020-01-02 9:07,대구성서경찰서
364,남자,1,20,0.233,2020-01-02 9:08,인천서부경찰서
365,남자,1,29,0.068,2020-01-02 9:13,인천남동경찰서
366,남자,1,34,0.097,2020-01-02 9:48,부산금정경찰서
367,남자,1,28,0.091,2020-01-02 9:54,부산동부경찰서
368,남자,1,48,0.048,2020-01-02 10:08,충주경찰서
369,남자,1,29,0.1,2020-01-02 10:19,분당경찰서
370,남자,1,27,0.101,2020-01-02 10:40,서산경찰서
371,남자,1,25,0.12,2020-01-02 10:49,세종경찰서
372,남자,1,42,0.144,2020-01-02 10:50,대구달서경찰서
373,남자,1,26,0.041,2020-01-02 11:20,안양만안경찰서
374,여자,1,35,측정거부,2020-01-02 12:40,원주경찰서
375,남자,1,72,0.064,2020-01-02 13:07,인천강화경찰서
376,남자,1,60,0.147,2020-01-02 13:59,예산경찰서
377,남자,1,50,0.05,2020-01-02 14:11,마산동부경찰서
378,남자,1,52,0.04,2020-01-02 14:20,강릉경찰서
379,남자,1,77,0.046,2020-01-02 14:45,여수경찰서
380,남자,1,43,0.123,2020-01-02 14:58,광주남부경찰서
381,남자,1,63,0.045,2020-01-02 15:12,가평경찰서
382,남자,1,57,0.036,2020-01-02 15:28,정읍경찰서
383,여자,1,47,측정거부,2020-01-02 15:55,거제경찰서
384,남자,1,60,0.085,2020-01-02 16:13,포천경찰서
385,남자,1,71,0.047,2020-01-02 16:17,제주동부경찰서
386,남자,1,42,0.089,2020-01-02 16:30,부여경찰서
387,남자,1,58,0.043,2020-01-02 16:49,서울광진경찰서
388,남자,1,67,0.084,2020-01-02 17:15,창원서부경찰서
389,남자,1,73,0.188,2020-01-02 17:20,전주덕진경찰서
390,남자,1,46,0.208,2020-01-02 17:29,공주경찰서
391,여자,1,42,0.124,2020-01-02 17:30,합천경찰서
392,남자,1,67,0.116,2020-01-02 18:30,거창경찰서
393,남자,1,48,0.071,2020-01-02 18:44,성남중원경찰서
394,남자,1,62,0.047,2020-01-02 18:56,광주경찰서
395,남자,1,70,0.115,2020-01-02 19:14,순천경찰서
396,남자,1,60,0.077,2020-01-02 19:14,양구경찰서
397,남자,1,50,0.093,2020-01-02 19:15,일산서부경찰서
398,남자,1,59,0.145,2020-01-02 19:27,안산상록경찰서
399,남자,1,41,0.075,2020-01-02 19:53,화성서부경찰서
400,남자,1,46,0.119,2020-01-02 19:58,경주경찰서
401,남자,1,72,0.068,2020-01-02 20:02,인천서부경찰서
402,남자,1,59,0.09,2020-01-02 20:12,진주경찰서
403,남자,1,47,0.062,2020-01-02 20:15,양평경찰서
404,남자,1,51,0.075,2020-01-02 20:26,정읍경찰서
405,남자,1,55,0.038,2020-01-02 20:27,서귀포경찰서
406,남자,1,37,0.048,2020-01-02 20:27,전주완산경찰서
407,남자,1,58,0.044,2020-01-02 20:33,광명경찰서
408,남자,1,64,0.047,2020-01-02 20:34,제주동부경찰서
409,남자,1,41,0.196,2020-01-02 20:37,수원서부경찰서
410,남자,1,48,0.156,2020-01-02 20:42,부산기장경찰서
411,남자,1,65,0.074,2020-01-02 20:44,평창경찰서
412,남자,1,47,0.204,2020-01-02 20:47,거제경찰서
413,남자,1,54,0.178,2020-01-02 20:53,대전유성경찰서
414,남자,1,39,0.145,2020-01-02 21:01,부산기장경찰서
415,남자,1,45,0.047,2020-01-02 21:05,서울동대문경찰서
416,남자,1,27,0.07,2020-01-02 21:05,거제경찰서
417,남자,1,49,0.123,2020-01-02 21:07,군산경찰서
418,남자,1,44,측정거부,2020-01-02 21:09,당진경찰서
419,남자,1,45,0.079,2020-01-02 21:09,전주완산경찰서
420,남자,1,50,0.04,2020-01-02 21:11,제주동부경찰서
421,남자,1,26,0.335,2020-01-02 21:15,화성동탄경찰서
422,남자,1,49,0.102,2020-01-02 21:16,원주경찰서
423,남자,1,41,0.081,2020-01-02 21:19,청주청원경찰서
424,여자,1,35,0.039,2020-01-02 21:19,칠곡경찰서
425,남자,1,46,0.113,2020-01-02 21:24,청주흥덕경찰서
426,남자,1,40,0.09,2020-01-02 21:27,평택경찰서
427,남자,1,33,0.047,2020-01-02 21:28,홍천경찰서
428,여자,1,51,0.045,2020-01-02 21:32,청도경찰서
429,남자,1,61,0.144,2020-01-02 21:40,구미경찰서
430,남자,1,34,0.054,2020-01-02 21:41,음성경찰서
431,남자,1,54,0.072,2020-01-02 21:43,춘천경찰서
